harbor,code,location
Skagen Harbour,DKSKA,"10.598519678069438 57.725452963287324,10.609591836882911 57.719402686830676,10.59131386050183 57.70980314626459,10.573070878936138 57.71472678037861,10.598519678069438 57.725452963287324"
Port of Aarhus,DKAAR,"10.22401610909992 56.17025645624844,10.26227920442505 56.15257221126359,10.22702018319659 56.13942324082143,10.20453506893496 56.13413847841824,10.20844613 56.15776146000002,10.22401610909992 56.17025645624844"
Port of Aalborg,DKAAL,"9.912256275634878 57.04769798962087,9.922384296875112 57.06011460278367,9.961739849870327 57.07879489170503,10.00414020997775 57.09530450420093,10.08117107055675 57.05591395781605,10.06922470762634 57.04548171473397,9.912256275634878 57.04769798962087"
Port of Esbjerg,DKEBJ,"8.426538584477216 55.45729558069996,8.406282541997545 55.47987095053116,8.40763439145956 55.48439419107709,8.416646613749599 55.48590182558948,8.497890973542669 55.45492724228151,8.482500193361735 55.44415310047282,8.426538584477216 55.45729558069996"
Port of Hanstholm,DKHAN,"8.590545828504503 57.11648797202594,8.58861463801378 57.11865482245437,8.588786299390733 57.1283458491805,8.60084551112169 57.12885828479929,8.611016447706161 57.12251057074943,8.590545828504503 57.11648797202594"
Ballen Harbour,DKBAL,"10.64248146664991 55.80628087289105,10.63595833432569 55.81684317209408,10.64248146664991 55.81708428701054,10.64177932748959 55.81542899165296,10.64416112909482 55.80913513524811,10.64857544553175 55.80931963620952,10.64909042966261 55.80739029016704,10.64248146664991 55.80628087289105"
Jyllinge Havn,DKJYL,"12.092034040885101 55.74326604933677,12.098671612381061 55.752790850190934,12.10190457005991 55.752839152639666,12.100388226150589 55.74231585609388,12.092034040885101 55.74326604933677"
Lindholm Havn,DKLHH,"10.81438508356553 55.29479746805541,10.80588784540635 55.29851126686174,10.812968877205666 55.30239572390309,10.820479062447365 55.29770501113552,10.81438508356553 55.29479746805541"
Fynshav,DKFYH,"9.985926544594228 54.99558577596,9.987128174232902 54.99517219313765,9.986063874219662 54.9938132456135,9.98445025832404 54.99422684356946,9.985926544594228 54.99558577596"
Frederikssund Harbour,DKFDS,"12.036567474424057 55.81041594048179,12.03319146385152 55.840982446343276,12.052760860824174 55.845255341208684,12.075591823958941 55.814949399586965,12.036567474424057 55.81041594048179"
Kolby Kas Havn,DKKOK,"10.527300622040208 55.795090241268326,10.527213832892414 55.79737500559466,10.531375978424029 55.79793689231602,10.529444787933306 55.79455948670281,10.527300622040208 55.795090241268326"
Molslinjen Ebeltoft,DKMLE,"10.68143308484996 56.15635990702151,10.68199098432506 56.1557862841793,10.67975938642467 56.15517680052534,10.67993104780162 56.15603724522663,10.68143308484996 56.15635990702151"
Fakse Ladeplads Havn,DKFAK,"12.139469877476659 55.19953013801478,12.145077485949585 55.21565937601662,12.172428861851657 55.2163122396627,12.16750789888654 55.202077298981465,12.139469877476659 55.19953013801478"
Koege Havn,DKKOG,"12.181876754707176 55.45190320244251,12.197841262763813 55.47667069243738,12.21371994013198 55.45798703310021,12.195781326240379 55.450637647776404,12.181876754707176 55.45190320244251"
Aaro Havn,DKARO,"9.725105638834336 55.259210890606,9.728324289652207 55.264395211285034,9.734761591287949 55.26341708935041,9.731886263223982 55.25806144487788,9.725105638834336 55.259210890606"
Bojden,DKBOS,"10.08090410277723 55.10601693968874,10.08240613982557 55.10591873900512,10.0832215313661 55.10498582047495,10.08193407103895 55.10444569979242,10.07983121917128 55.10564868588091,10.08090410277723 55.10601693968874"
Taars,DKTRS,"11.0294302067167 54.87652732468538,11.03027401754251 54.87532979357181,11.02706753597526 54.87503849671737,11.02712379060256 54.87666757389215,11.0294302067167 54.87652732468538"
Fanoe,DKNDB,"8.408620532652263 55.45208477776296,8.409865077635173 55.45162237034697,8.40966695228161 55.45029961203011,8.408636984019891 55.44965058783251,8.407707151343116 55.44993453751124,8.408620532652263 55.45208477776296"
Hals Havn,DKHAS,"10.30052241023024 56.98257603783202,10.30219610210717 56.98667001766279,10.30338119519597 56.98643911032724,10.30798617253419 56.98449748624179,10.31108251905052 56.98929352409036,10.30704489997688 56.98996179925166,10.30398201001531 56.99056188879635,10.3038984103254 56.99432869766838,10.31454141569649 56.99277020371284,10.31107894233528 56.98928962746683,10.30798386586553 56.98449641442789,10.30704554255446 56.98189009062867,10.30052241023024 56.98257603783202"
Omo Havn,DKOMO,"11.15616302984882 55.17000346382707,11.15848045843769 55.17314072473414,11.16829376802662 55.1713597053714,11.16325836719944 55.16938251733967,11.15616302984882 55.17000346382707"
Port of Naestved,DKNVD,"11.677328777032615 55.19922225292252,11.677328777032615 55.25674516617476,11.7972534038911 55.25674516617476,11.7972534038911 55.19922225292252,11.677328777032615 55.19922225292252"
Gudhjem Havne,DKGDM,"14.96893874997861 55.21268147929828,14.97084848279721 55.21409543803358,14.974088591287222 55.21254681394183,14.972200316140736 55.21121849942409,14.96893874997861 55.21268147929828"
Port of Rodvig,DKRDH,"12.354847844024027 55.24560361616528,12.354847844024027 55.26285951411246,12.390850248566755 55.26285951411246,12.390850248566755 55.24560361616528,12.354847844024027 55.24560361616528"
Port of Studstrup,DKSSV,"10.36019786259323 56.24736065199624,10.34852475999888 56.24321161998126,10.33968432804824 56.2495542492542,10.34972651859987 56.25456090258127,10.36019786259323 56.24736065199624"
Gedser Fiskerihavn,DKGED,"11.92358349008572 54.57068249901874,11.92348335450078 54.57436012322535,11.93199489755643 54.57377554002053,11.92987774144712 54.57079859644665,11.92358349008572 54.57068249901874"
STIGS,DKSIT,"11.22644675872783 55.20343663502766,11.22438682220439 55.21231744574959,11.23674644134502 55.2127092005062,11.23743308685283 55.20382847718696,11.22644675872783 55.20343663502766"
Sejero Havn,DKSEO,"11.1167601408101 55.87227104207069,11.1167601408101 55.8895251735571,11.15334029396049 55.8895251735571,11.15334029396049 55.87227104207069,11.1167601408101 55.87227104207069"
